AK	QUINHAGAK	PAQH	US
AK	REG DOG	PARD	US
AK	REG DOG	PADG	US
AK	RUBY	PARY	US
AK	RUSSIAN MISSION	PARS	US
AK	SAINT MARYS	PASM	US
AK	SAND POINT	PASD	US
AK	SAVOONGA	PASA	US
AK	SCAMMON BAY	PACM	US
AK	SELAWIK	PASK	US
AK	SELDOVIA	PASO	US
AK	SEWARD	PAWD	US
AK	SHAGELUK	PAHX	US
AK	SHAKTOOLIK	PFSH	US
AK	SHISHMAREF	PASH	US
AK	SHUNGNAK	PAGH	US
AK	SITKA	PASI	US
AK	SITKA/BIORKA/88D	PACG	US
AK	SKAGWAY	PAGY	US
AK	SKWENTNA	PASW	US
AK	SLANA	PADT	US
AK	SLEETMUTE	PASL	US
AK	SNOWSHOE LAKE	PALK	US
AK	SOLDOTNA	PASX	US
AK	SOUTH NAKNEK	PFWS	US
AK	SPARREVOHN	PASV	US
AK	ST GEORGE	PAPB	US
AK	ST MICHAEL	PAMK	US
AK	ST PAUL ISLAND	PASN	US
AK	STONY RIVER LAND	PAER	US
AK	SUTTON	PAJV	US
AK	TAHNETNA PASS LO	PASP	US
AK	TALKEETNA	PATK	US
AK	TALKEETNA PROF		US
AK	TANANA	PATA	US
AK	TATALINA AFS	PATL	US
AK	TELLER	PATE	US
AK	TIN CITY AFS	PATC	US
AK	TOGIAK	PATG	US
AK	TOKSOOK BAY	PAOO	US
AK	UMIAT	PAUM	US
AK	UNALAKLEET	PAUN	US
AK	DUTCH HARBOR	PADU	US
AK	VALDEZ	PAVD	US
AK	VALDEZ WSO	PAVW	US
AK	WAINWRIGHT	PAWI	US
AK	WALES	PAIW	US
AK	WASILLA	PAWS	US
AK	WHITE MOUNTAIN	PAWM	US
AK	WHITTIER	PAWR	US
AK	WILLOW	PAUO	US
AK	WOLVERINE ROAD	PAIZ	US
AK	WRANGELL	PAWG	US
AK	YAKUTAT	PAYA	US
AK	ALASKAN ARTCC	PZ74	US
AK	ALASKAN ARTCC	PZ76	US
			
AL	ABAMA            1	4-SE	
CD	STATION	ICAO	
AL	ALABASTER	KEET	US
AL	ALBERTVILLE MUNI	K8A0	US
AL	ALEXANDER/RUSSEL	KALX	US
AL	ANDALUSIA/OPP AR	K79J	US
AL	ANNISTON	KANB	US
AL	AUBURN UNIV. (AM	KAUB	US
AL	AUBURN OPELIKA A	KAUO	US
AL	BESSEMER	KEKY	US
AL	BIRMINGHAM	KBHM	US
AL	BRMNGHM/ALABASTR	KBMX	US
AL	OZARK/CAIRNS AAF	KOZR	US
AL	CENTREVILLE WSM	K0A8	US
AL	COURTLAND	K9A4	US
AL	CULLMAN/FOLSOM F	K3A1	US
AL	CULLMAN/FOLSOM F	KCMD	US
AL	DECATUR	KDCU	US
AL	DEMOPOLIS	KDYA	US
AL	DOTHAN	KDHN	US
AL	ENTERPRISE	KEDN	US
AL	EUFAULA	KEUF	US
AL	EVERGREEN	KGZH	US
AL	FAIRHOPE	KCQF	US
AL	FLORALA MUNI	K0J4	US
AL	FT PAYNE/ISBELL	K4A9	US
AL	FT RUCKER 88D	KEOX	US
AL	FT RUCKER/SHELL	KSXS	US
AL	FT RUCKER/HANCHE	KHEY	US
AL	GADSDEN MUNI	KGAD	US
AL	GREENVILLE	KPRN	US
AL	GULF SHORES	KJKA	US
AL	HALEYVILLE	K1M4	US
AL	HUNTSVILLE	KHSV	US
AL	HUNTSVILLE/MADIS	KMDQ	US
AL	HYTOP/88D	KHTX	US
AL	JASPER/WALKER	KJFX	US
AL	LOWE AHP/FT. RUC	KLOR	US
AL	MARION	KA08	US
AL	MAXWELL AFB 88D	KMXX	US
AL	MAXWELL AFB/MGM	KMXF	US
AL	MOBILE/BROOKLEY	KBFM	US
AL	MOBILE/BATES	KMOB	US
AL	MONTGOMERY	KMGM	US
AL	MUSCLE SHOAL	KMSL	US
AL	PELL CITY	KPLR	US
AL	PHI OIL PLAT	KRAM	US
AL	PRATTVILLE	K1A9	US
AL	REDSTONE ARSENAL	KHUA	US
AL	SCOTTSBORO	K4A6	US
AL	SELMA/CRAIG FLD	KSEM	US
AL	SEMMNES VOR	KSJI	US
AL	SYLACAUGA	KSCD	US
AL	TALLADEGA	KASN	US
AL	TROY	KTOI	US
AL	TUSCALOOSA	KTCL	US
AL	VULCAN VOR	KVUZ	US
AL	CENTREVILLE WSM	KCKL	US
AL	DAUPHIN ISLAND	K4R9	US
AL	FAIRHOPE	K4R4	US
AL	HUNTSVILLE/MADIS	KM82	US
AL	VIOSCA KNOLL768	KVOA	US
			
AR	KANSAS           1	7-MA	
CD	STATION	ICAO	
AR	ARKADELPHIA	KADF	US
AR	BATESVILLE	KBVX	US
AR	BENTONVILLE	KH00	US
AR	BENTONVILLE	KVBT	US
AR	BENTONVILLE (NW)	KXNA	US
AR	BLYTHEVILLE	KHKA	US
AR	BLYTHEVILLE	KBYH	US
AR	CAMDEN	KCDH	US
AR	CANTRELL	KCXW	US
AR	CLINTON MUNI	KCCA	US
AR	CORNING	K4M9	US
AR	DE QUEEN	KDEQ	US
AR	DEQUEEN PROFILER	KDQU	US
AR	EL DORADO	KELD	US
AR	FAYETTEVILLE	KFYV	US
AR	FLIPPIN (AWOS)	KFLP	US
AR	FORT SMITH	KFSM	US
AR	SLATINGTON MTN.	KSRX	US
AR	HARRISON	KHRO	US
AR	HOT SPRINGS	KHOT	US
AR	JONESBORO	KJBR	US
AR	LITTLE ROCK	KLIT	US
AR	LITTLE ROCK AFB	KLRF	US
AR	MENA INTERMTN	KMEZ	US
AR	W MEMPHIS MUNI	KAWM	US
AR	MONTICELLO	KLLQ	US
AR	MOUNT IDA	KMWT	US
AR	MOUNTAIN HOME	KBPK	US
AR	N. LITTLE ROCK	KLZK	US
AR	NEWPORT	KM19	US
AR	PINE BLUFF/GRIDR	KPBF	US
AR	RAZORBACK VOR	KRZC	US
AR	ROGERS	KROG	US
AR	RUSSELLVILLE	KRUE	US
AR	SEARCY	KSRC	US
AR	SILOAM SPRING	KSLG	US
AR	SPRINGDALE MUNI	KASG	US
AR	STUTTGART	KSGT	US
AR	TEXARKANA	KTXK	US
AR	WALNUT RIDGE	KARG	US
AR	ARKADELPHIA	KM89	US
AR	FORT CHAFFEE		US
AR	MENA INTERMTN	KM39	US
			
AR	IZONA            0	4-OC	
CD	STATION	ICAO	
AZ	PHOENIX/SKY HRBR	KPHX	US
AZ	TUCSON	KTUS	US
AZ	AK-CHIN	KA39	US
AZ	BUCKEYE	KBXK	US
AZ	BULLHEAD CITY	KIFP	US
AZ	CASA GRANDA	KCGZ	US
AZ	CHANDLER/MESA	KIWA	US
AZ	CHANDLER	KCHD	US
AZ	COCONINO/FLAGSTF	KFSX	US
AZ	COLORADO CITY	KAZC	US
AZ	COOLIDGE MUNI	KP08	US
AZ	DAVIS/TUCSON	KDMA	US
AZ	DOUGLAS BISBEE	KDUG	US
AZ	FLAGSTAFF	KFLG	US
AZ	FLAGSTAFF/BELLEM	KFGZ	US
AZ	FORT HUACHUCA	KFHU	US
AZ	GILA BEND (AAF)	KGXF	US
AZ	GLENDALE	KGEU	US
AZ	LAGUNA (AAF)	KLGF	US
AZ	LUKE AFB/GLENDAL	KLUF	US
AZ	GOODYEAR MUNICIP	KGYR	US
AZ	GRAND CANYON	KGCN	US
AZ	GRAND CANYON/VAL	K40G	US
AZ	KINGMAN	KIGM	US
AZ	LAKE HAVASU CITY	KHII	US
AZ	MESA/FALCON FLD	KFFZ	US
AZ	NOGALES	KOLS	US
AZ	PAGE	KPGA	US
AZ	PAYSON	KPAN	US
AZ	PEACH SPRING	KPGS	US
AZ	PHOENIX/DEER VLY	KDVT	US
AZ	PHOENIX/WFO	KPSR	US
AZ	PIMA COUNTY/88D	KEMX	US
AZ	PIONEER AIRFIELD	KALK	US
AZ	PRESCOTT	KPRC	US
AZ	PRESCOTT(VOR)	KDRK	US
AZ	SAFFORD	KSAD	US
AZ	SAN SIMON	KSSO	US
AZ	SCOTTSDALE	KSDL	US
AZ	SEDONA	KSEZ	US
AZ	SHOW LOW MUNICIP	KSOW	US
AZ	SPRINGERVILLE	KJTC	US
AZ	ST. JOHNS	KSJN	US
AZ	TUBA CITY	KTBC	US
AZ	TUCSON/WFO	KTWC	US
AZ	TUCSON/MARANA	KAVQ	US
AZ	TUCSON/RYAN FLD	KRYN	US
AZ	WILLIAMS CLARK	KCMR	US
AZ	WINDOW ROCK	KRQE	US
AZ	WINSLOW	KINW	US
AZ	YUMA/88D	KYUX	US
AZ	YUMA INTL	KYUM	US
AZ	YUMA MCAS	KNYL	US
AZ	YUMA PRVG GROUN	K1Y7	US
AZ	YUMA PRVG GROUN		US
AZ	YUMA (VOR)	KBZA	US
AZ	GILA BEND (AAF)	KGBN	US
AZ	NOGALES	K13A	US
AZ	PAYSON	K0E4	US
AZ	SAFFORD	KE74	US
AZ	SHOW LOW	KE03	US
AZ	TUBA CITY	KT03	US
AZ	WINDOW ROCK	KP34	US
			
CA	LIFORNIA         0	4-OC	
CD	STATION	ICAO	
CA	ALAMEDA NAS	KNGZ	US
CA	ALTURAS	KAAT	US
CA	APPLE VALLEY	KAPV	US
CA	ARCATA/EUREKA	KACV	US
CA	AUBURN MUNI	KAUN	US
CA	AVALON	KAVX	US
CA	BAKERSFIELD	KBFL	US
CA	BAKERSFIELD(VOR)	KEHF	US
CA	BEALE AFB/MARYSV	KBAB	US
CA	BEALE/ORO DAM	KBBX	US
CA	BEAUMONT	KBUO	US
CA	BIG BEAR CITY	KL35	US
CA	BICYCLE LAKE	KBYS	US
CA	BISHOP	KBIH	US
CA	BLYTHE	KBLH	US
CA	BRIDGEPORT	KO57	US
CA	BRIDGEPORT(MCMWT	KBAN	US
CA	BURBANK	KBUR	US
CA	BURNEY	KBNY	US
CA	BYRON	KC83	US
CA	CALEXICO INTL	KCXL	US
CA	CAMARILLO	KCMA	US
CA	CAMP PENDLETON	KNFG	US
CA	CAMP ROBERTS	KSYL	US
CA	CAMPO	KCZZ	US
CA	CARLSBAD	KCRQ	US
CA	CEDARVILLE	KO59	US
CA	CHICO MUNICIPAL	KCIC	US
CA	CHINA LAKE (NAF)	KNID	US
CA	CHINO	KCNO	US
CA	COLUMBIA	KO22	US
CA	CONCORD	KCCR	US
CA	CORONA MUNI	KAJO	US
CA	CRESCENT CITY	KCEC	US
CA	DAGGETT	KDAG	US
CA	DAVIS	KEDU	US
CA	DELANO	KDLO	US
CA	EDWARDS AFB	KEDW	US
CA	EDWARDS AFB/88D	KEYX	US
CA	EDWARDS N-AUX	K9L2	US
CA	EL CENTRO NAF	KNJK	US
CA	EL MONTE	KEMT	US
CA	EMIGRANT GAP	KBLU	US
CA	EUREKA/MURRAY	KEKA	US
CA	FALLBROOK AIRPAR	KL18	US
CA	FORTUNA/FOT/VOR		US
CA	FORTUNA	KFOT	US
CA	FRESNO	KFAT	US
CA	FRESNO(VOR)	KCZQ	US
CA	FRESNO CHANDLER	KFCH	US
CA	FULLERTON	KFUL	US
CA	GRASS VALLEY	KGOO	US
CA	HALF MOON BAY	KHAF	US
CA	HANFORD	KHJO	US
